2025/09/13 14:46:36 sim: snapshot players=1 entities=1 cells=6
2025/09/13 14:46:37 sim: snapshot players=1 entities=1 cells=6
2025/09/13 14:46:37 sim: snapshot players=1 entities=1 cells=6
2025/09/13 14:46:37 sim: snapshot players=1 entities=1 cells=6
2025/09/13 14:46:37 sim: snapshot players=1 entities=1 cells=6
2025/09/13 14:46:37 sim: snapshot players=1 entities=1 cells=6
2025/09/13 14:46:37 sim: snapshot players=1 entities=1 cells=6
2025/09/13 14:46:37 sim: snapshot players=1 entities=1 cells=6
2025/09/13 14:46:37 sim: snapshot players=1 entities=1 cells=6
2025/09/13 14:46:38 sim: snapshot players=1 entities=1 cells=6
2025/09/13 14:46:38 sim: snapshot players=1 entities=1 cells=6
2025/09/13 14:46:38 sim: snapshot players=1 entities=1 cells=6
2025/09/13 14:46:38 sim: snapshot players=1 entities=1 cells=6
2025/09/13 14:46:38 sim: snapshot players=1 entities=1 cells=6
2025/09/13 14:46:38 sim: snapshot players=1 entities=1 cells=6
2025/09/13 14:46:38 sim: snapshot players=1 entities=1 cells=6
2025/09/13 14:46:38 sim: snapshot players=1 entities=1 cells=6
2025/09/13 14:46:39 sim: snapshot players=1 entities=1 cells=6
2025/09/13 14:46:39 sim: snapshot players=1 entities=1 cells=6
2025/09/13 14:46:39 sim: snapshot players=1 entities=1 cells=6
2025/09/13 14:46:39 sim: snapshot players=1 entities=1 cells=6
2025/09/13 14:46:39 sim: snapshot players=1 entities=1 cells=6
2025/09/13 14:46:39 sim: snapshot players=1 entities=1 cells=6
2025/09/13 14:46:39 sim: snapshot players=1 entities=1 cells=6
2025/09/13 14:46:39 sim: snapshot players=1 entities=1 cells=6
2025/09/13 14:46:40 sim: snapshot players=1 entities=1 cells=6
2025/09/13 14:46:40 sim: snapshot players=1 entities=1 cells=6
2025/09/13 14:46:40 sim: snapshot players=1 entities=1 cells=6
